Input Size,Insertion Time (s)
5000,0.0785545
10000,0.247297
15000,0.646422
20000,1.55755
25000,1.84794
30000,2.43787
35000,3.65699
40000,4.3326
45000,5.49489
50000,6.89018
55000,8.32674
60000,10.1092
65000,12.1856
70000,14.3115
75000,16.5023
80000,18.56
85000,20.6062
90000,23.1323
95000,25.996
