Input Size,Insertion Time (ms)
100,0.0967
200,0.1107
300,0.1872
400,0.1067
500,0.1369
600,0.3639
700,0.1801
800,0.2067
900,0.246
1000,0.394
1100,0.2956
1200,0.714
1300,0.3252
1400,0.352
1500,0.3809
1600,0.4082
1700,0.4774
1800,0.5256
1900,0.4955
2000,0.6425
2100,1.501
2200,0.7231
2300,1.6731
2400,0.7862
2500,0.7913
2600,0.6885
2700,0.7152
2800,0.745
2900,0.7723
3000,0.8026
3100,0.8541
3200,0.8881
3300,1.0744
3400,1.2685
3500,0.9793
3600,1.7256
3700,2.5235
3800,3.3263
3900,2.5706
4000,2.4418
4100,1.6778
4200,1.5241
4300,1.5012
4400,1.1025
4500,3.3742
4600,1.2079
4700,2.5712
4800,1.3122
4900,1.7963
5000,1.3523
5100,1.6715
5200,1.5614
5300,2.2902
5400,1.8604
5500,2.3333
5600,1.6727
5700,1.5916
5800,2.4243
5900,1.7388
6000,2.0461
6100,3.736
6200,2.7119
6300,2.7652
6400,1.8641
6500,2.3642
6600,1.7533
6700,4.0068
6800,3.3392
6900,2.9459
7000,1.5623
7100,2.1234
7200,2.1632
7300,2.1858
7400,4.8534
7500,3.0599
7600,2.6047
7700,2.7843
7800,2.1458
7900,5.2079
8000,3.0229
8100,2.3082
8200,3.0867
8300,2.875
8400,4.9152
8500,3.5416
8600,3.0622
8700,3.208
8800,2.9232
8900,4.877
9000,7.8198
9100,1.9762
9200,5.4778
9300,3.0205
9400,2.096
9500,3.308
9600,3.259
9700,6.7405
9800,3.6251
9900,2.1708
10000,2.4168
10100,6.0833
10200,5.2277
10300,3.0584
10400,3.8548
10500,6.0913
10600,4.6882
10700,3.1411
10800,8.3147
10900,4.9699
11000,3.883
11100,6.0684
11200,6.0446
11300,5.415
11400,6.4447
11500,5.6491
11600,3.7693
11700,7.0453
11800,6.2702
11900,7.5012
12000,5.9453
12100,4.4842
12200,8.9078
12300,4.1615
12400,4.6689
12500,8.5889
12600,4.2011
12700,4.7492
12800,8.0392
12900,4.8911
13000,7.2393
13100,5.6259
13200,3.9629
13300,6.9178
13400,5.7251
13500,4.8404
13600,7.4031
13700,5.6235
13800,5.9295
13900,9.5185
14000,5.1706
14100,8.2174
14200,7.2812
14300,8.5703
14400,7.6199
14500,7.6063
14600,5.2828
14700,5.4734
14800,9.1952
14900,4.2791
15000,5.781
15100,5.7029
15200,4.4846
15300,9.351
15400,4.7852
15500,4.3527
15600,6.6209
15700,5.206
15800,9.4476
15900,5.9657
16000,5.9097
16100,7.8479
16200,5.0643
16300,4.656
16400,14.0904
16500,4.9889
16600,8.1256
16700,4.8051
16800,7.9516
16900,4.7055
17000,4.7258
17100,9.5035
17200,6.1973
17300,8.2727
17400,5.5733
17500,5.153
17600,7.9852
17700,5.1138
17800,8.1959
17900,5.6927
18000,5.2287
18100,15.4796
18200,7.8658
18300,5.3571
